"Industry","Short.name","Ticker","abs.change","percent.change","norm.per.change","Market.Cap.Nov5","Market.Cap.Nov7","P.E.Nov5","P.E.Nov7","Total.Return.Nov5","Total.Return.Nov7","Revenue.T12M.Nov5","Revenue.T12M.Nov7","EPS.T12M.Nov5","EPS.T12M.Nov7","percent.change.by.industry","sd"
"Consumer D","FOSSIL INC","FOSL US Equity",-4.001959,-19.2823751118553,-12.3403525306321,6241010688,5106443264,20.754492,16.752533,11.686364,5.758808,2740562944,2740592960,5.02,5.02,-6.94202258122315,15.7560360301773
"Consumer D","RALPH LAUREN COR","RL US Equity",-0.804285,-3.48520178602698,3.45682079519617,14724985856,14211790848,23.077143,22.272858,7.750797,13.67015,6883900032,6883900032,7.29,7.29,-6.94202258122315,15.7560360301773
"Consumer D","HOME DEPOT INC","HD US Equity",-0.746751999999997,-3.21780187942394,3.72422070179921,100625588224,93446316032,23.206898,22.460146,8.811648,50.006594,72521998336,71717998592,2.85,2.82,-6.94202258122315,15.7560360301773
"Consumer D","NEWELL RUBBERMAI","NWL US Equity",-1.091877,-7.79578761568177,-0.853765034458618,6726963712,6070819840,14.005987,12.91411,5.029182,32.347828,5902699904,5879099904,1.37,1.3,-6.94202258122315,15.7560360301773
"Consumer D","HARMAN INTL","HAR US Equity",-2.931038,-17.9266405629785,-10.9846179817553,3076798208,2758032128,16.35018,13.419142,1.456097,7.98179,4240280960,4311667968,4.58,4.72,-6.94202258122315,15.7560360301773
"Consumer D","WALT DISNEY CO","DIS US Equity",-0.976389000000001,-5.49095845917156,1.45106412205159,96740147200,89857277952,17.781759,16.80537,9.640489,33.546672,42277999616,41920999424,3.16,3.06,-6.94202258122315,15.7560360301773
"Consumer D","DARDEN RESTAURAN","DRI US Equity",1.252533,9.51967819547226,16.4617007766954,6059096576,6782758400,13.157304,14.409837,5.074072,20.075543,8220099968,8091600000,3.58,3.73,-6.94202258122315,15.7560360301773
"Consumer D","WASHINGTON POS-B","WPO US Equity",-2.307481,-12.9440860802556,-6.00206349903245,2869857792,2520933888,17.826527,15.519046,6.360727,-7.872407,4054168000,4054168000,31.58,31.58,-6.94202258122315,15.7560360301773
"Consumer D","O'REILLY AUTOMOT","ORLY US Equity",-1.105726,-5.37530376047545,1.5667188207477,10704521216,10255878144,20.570484,19.464758,4.439724,10.53159,6085106048,6085106048,4.63,4.63,-6.94202258122315,15.7560360301773
"Consumer D","BORGWARNER INC","BWA US Equity",-1.870517,-12.6023294121277,-5.66030683090455,8720437248,7621458944,14.842629,12.972112,4.035185,2.165047,7237799936,7237799936,4.42,4.42,-6.94202258122315,15.7560360301773
"Consumer D","NIKE INC -CL B","NKE US Equity",-2.203026,-9.82292853134684,-2.88090595012369,48389328896,42966556672,22.427385,20.224359,4.748064,-0.76699,24940000256,24716000256,2.265,4.69,-6.94202258122315,15.7560360301773
"Consumer D","CARNIVAL CORP","CCL US Equity",-1.837162,-8.68135265757097,-1.73933007634782,32017631232,31543156736,21.162163,19.325001,6.472671,21.216142,15383000320,15500000256,1.67,1.83,-6.94202258122315,15.7560360301773
"Consumer D","COMCAST CORP-A","CMCSA US Equity",-1.074466,-5.23315069408532,1.70887188713783,101828599808,96626360320,20.531914,19.457448,3.319052,56.619703,61674999808,61674999808,2.21,2.21,-6.94202258122315,15.7560360301773
"Consumer D","NETFLIX INC","NFLX US Equity",-480.994981,-84.6411045716758,-77.6990819904526,9160765440,4314777088,568.275879,87.280898,77.988991,12.108528,3609281984,3539617984,0.31,0.93,-6.94202258122315,15.7560360301773
"Consumer D","TIFFANY & CO","TIF US Equity",-1.753059,-8.76935521146291,-1.82733263023976,8211155456,7968038912,19.99074,18.237681,12.957789,-3.589151,3745920000,3714945984,3.27,3.48,-6.94202258122315,15.7560360301773
"Consumer D","SNAP-ON INC","SNA US Equity",-0.908731,-5.57992694824881,1.36209563297434,4779616768,4512918016,16.285715,15.376984,3.911893,55.606789,3075199936,3075199936,5.08,5.08,-6.94202258122315,15.7560360301773
"Consumer D","H&R BLOCK INC","HRB US Equity",-3.533388,-20.7118951184616,-13.7698725372384,6201752064,4877265408,17.059704,13.526316,23.101782,14.363842,2798434976,2790303976,1.21,1.13,-6.94202258122315,15.7560360301773
"Consumer D","SCRIPPS NET-CL A","SNI US Equity",-0.743904000000001,-3.9259934942537,3.01602908696945,9308775424,8943313920,18.948172,18.204268,7.303183,41.732029,2256005984,2256005984,3.31,3.31,-6.94202258122315,15.7560360301773
"Consumer D","WYNDHAM WORLDWID","WYN US Equity",-1.55414,-8.68481838825073,-1.74279580702758,7881586688,7197085696,17.894905,16.340765,5.600451,37.563729,4.44e+09,4.44e+09,2.61,2.61,-6.94202258122315,15.7560360301773
"Consumer D","AMAZON.COM INC","AMZN US Equity",-298.260562,-40.5184141044353,-33.5763915232122,120456028160,105113919488,736.111145,437.850583,5.632401,34.061697,61093001216,57255999488,-0.08,0.1,-6.94202258122315,15.7560360301773
"Consumer D","STARWOOD HOTELS","HOT US Equity",-3.735849,-16.0012926620228,-9.05927008079965,12125109248,10184935424,23.34717,19.611321,7.862619,8.338545,6319000192,6319000192,3.05,3.05,-6.94202258122315,15.7560360301773
