EMPLOYER,CAND_PTY_AFFILIATION,TRANSACTION_AMT
BLACKROCK INC,REP,3500
BLACKROCK INC,DEM,14750
BMC SOFTWARE INC,DEM,5000
BMC SOFTWARE INC,REP,4900
BMC SOFTWARE INC,DEM,1500
BOSTON PROPERTIE,DEM,1000
BOSTON PROPERTIE,REP,3202
BOSTON SCIENTIFC,DEM,7490
BOSTON SCIENTIFC,REP,4750
BOSTON PROPERTIE,DEM,295
BROADCOM CORP-A,DEM,5650
BROADCOM CORP-A,REP,4000
CH ROBINSON,REP,1000
CA INC,REP,250
CA INC,REP,250
FMC TECHNOLOGIES,DEM,8205
FMC TECHNOLOGIES,REP,11062
CARDINAL HEALTH,DEM,44750
CARDINAL HEALTH,REP,4650
CARDINAL HEALTH,DEM,500
CARDINAL HEALTH,DEM,500
CA INC,REP,1755
CATERPILLAR INC,REP,250
CATERPILLAR INC,DEM,2035
CATERPILLAR INC,REP,4304
CATERPILLAR INC,DEM,2250
CATERPILLAR INC,REP,8143
CATERPILLAR INC,REP,1000
CATERPILLAR INC,DEM,2600
CBRE GROUP INC-A,REP,500
CENTERPOINT ENER,REP,2000
CENTERPOINT ENER,DEM,750
CENTERPOINT ENER,REP,3650
CENTURYLINK INC,DEM,250
CENTURYLINK INC,DEM,1200
CERNER CORP,DEM,1000
CERNER CORP,DEM,500
CH ROBINSON,DEM,10000
CHESAPEAKE ENERG,REP,5167
CHEVRON CORP,DEM,6700
CHEVRON CORP,REP,951
CHEVRON CORP,REP,5250
CH ROBINSON,REP,500
HOME DEPOT INC,REP,500
CHUBB CORP,DEM,500
CIGNA CORP,DEM,1000
CISCO SYSTEMS,DEM,450
CISCO SYSTEMS,DEM,68283
CISCO SYSTEMS,REP,34886
CITIGROUP INC,REP,2500
CITIGROUP INC,DEM,250
CITIGROUP INC,REP,2800
CITRIX SYSTEMS,DEM,250
CITRIX SYSTEMS,REP,500
CME GROUP INC,REP,250
COACH INC,REP,1000
COACH INC,DEM,1512
EOG RESOURCES,REP,250
COLGATE-PALMOLIV,REP,250
COLGATE-PALMOLIV,DEM,1000
COLGATE-PALMOLIV,DEM,2781
COMCAST CORP-A,DEM,20000
COMCAST CORP-A,REP,500
CONAGRA FOODS,REP,1000
CONAGRA FOODS,DEM,1531
CONAGRA FOODS,REP,3954
CONOCOPHILLIPS,DEM,1500
CONOCOPHILLIPS,REP,4150
CONOCOPHILLIPS,REP,250
CONOCOPHILLIPS,DEM,10780
CONOCOPHILLIPS,REP,20853
CONSOL ENERGY,REP,66346
CONSTELLATION-A,DEM,998
COOPER INDUSTRIE,REP,450
CORNING INC,DEM,1500
CORNING INC,DEM,275
CORNING INC,DEM,20500
CORNING INC,REP,500
CORNING INC,REP,2250
CORNING INC,DEM,1250
CORNING INC,DEM,2400
COSTCO WHOLESALE,DEM,22210
COSTCO WHOLESALE,REP,1201
CA INC,DEM,500
CUMMINS INC,DEM,1000
CUMMINS INC,REP,250
CUMMINS INC,DEM,450
CUMMINS INC,REP,950
CUMMINS INC,DEM,1668
CUMMINS INC,REP,902
CUMMINS INC,DEM,6700
CVS CAREMARK COR,DEM,1000
DANAHER CORP,DEM,500
DANAHER CORP,REP,1250
DARDEN RESTAURAN,REP,1000
DARDEN RESTAURAN,DEM,1885
DARDEN RESTAURAN,REP,10000
DEERE & CO,DEM,412
DEERE & CO,REP,1000
DELL INC,DEM,750
DELL INC,REP,1750
DELL INC,DEM,11850
DELL INC,REP,12875
DELL INC,DEM,950
DELL INC,REP,250
DENBURY RESOURCE,REP,350
DENTSPLY INTL,DEM,250
DEVON ENERGY CO,REP,500
DEVON ENERGY CO,DEM,250
DEVON ENERGY CO,REP,250
DIAMOND OFFSHORE,DEM,500
DIRECTV,DEM,2452
DIRECTV,REP,5538
DISCOVER FINANCI,DEM,200
DOLLAR TREE INC,REP,200
DOW CHEMICAL CO,DEM,250
DOW CHEMICAL CO,REP,250
DOW CHEMICAL CO,REP,250
DUKE ENERGY CORP,DEM,250
DUN & BRADSTREET,DEM,250
E*TRADE FINANCIA,DEM,220
E*TRADE FINANCIA,DEM,250
E*TRADE FINANCIA,REP,2400
EASTMAN CHEMICAL,DEM,500
EASTMAN CHEMICAL,REP,6250
EASTMAN CHEMICAL,REP,13100
EBAY INC,DEM,250
EBAY INC,DEM,11000
EBAY INC,REP,3150
EBAY INC,DEM,1000
ECOLAB INC,REP,454
ECOLAB INC,DEM,250
EDISON INTL,DEM,5000
ELECTRONIC ARTS,DEM,41927
ELECTRONIC ARTS,REP,3300
ELI LILLY & CO,DEM,250
ELI LILLY & CO,REP,600
ELI LILLY & CO,DEM,200
ELI LILLY & CO,DEM,375
ELI LILLY & CO,DEM,500
FMC TECHNOLOGIES,REP,250
ENTERGY CORP,DEM,800
EOG RESOURCES,DEM,200
EOG RESOURCES,REP,55450
EQUIFAX INC,REP,250
EQUIFAX INC,REP,22200
EQUIFAX INC,DEM,250
EQUITY RESIDENTI,DEM,19450
EQUITY RESIDENTI,REP,4000
ESTEE LAUDER,DEM,83150
ESTEE LAUDER,REP,4962
E*TRADE FINANCIA,REP,500
WEYERHAEUSER CO,REP,500
EXELON CORP,DEM,1050
EXELON CORP,REP,1250
EXELON CORP,DEM,3000
EXELON CORP,REP,3500
EXPEDIA INC,DEM,250
EXPEDIA INC,DEM,6750
EXPEDIA INC,DEM,1000
EXPEDITORS INTL,DEM,250
EXPRESS SCRIPTS,DEM,2850
EXPRESS SCRIPTS,REP,4316
EXPRESS SCRIPTS,DEM,1250
EXPRESS SCRIPTS,REP,1200
EXXON MOBIL CORP,DEM,975
EXXON MOBIL CORP,DEM,1500
EXXON MOBIL CORP,REP,56750
EXXON MOBIL CORP,DEM,1000
EXXON MOBIL CORP,DEM,2250
EXXON MOBIL CORP,REP,2000
EXXON MOBIL CORP,DEM,400
F5 NETWORKS,DEM,5502
F5 NETWORKS,REP,1750
FEDEX CORP,REP,200
FEDEX CORP,DEM,400
FEDEX CORP,REP,25000
FIDELITY NATIONA,REP,11250
FIFTH THIRD BANC,DEM,3250
FIFTH THIRD BANC,REP,5675
FIFTH THIRD BANC,DEM,200
FIRSTENERGY CORP,DEM,500
FIRST SOLAR INC,DEM,500
FIRSTENERGY CORP,DEM,3700
FIRSTENERGY CORP,REP,500
FISERV INC,REP,1000
FISERV INC,REP,1750
FISERV INC,REP,200
FLIR SYSTEMS,REP,250
FLUOR CORP,REP,500
FLUOR CORP,REP,1300
FMC TECHNOLOGIES,DEM,750
FMC TECHNOLOGIES,REP,201
FORD MOTOR CO,DEM,1200
FORD MOTOR CO,REP,6152
FORD MOTOR CO,DEM,900
FORD MOTOR CO,REP,750
FORD MOTOR CO,DEM,250
FORD MOTOR CO,DEM,200
FOREST LABS INC,DEM,2500
FREEPORT-MCMORAN,DEM,4890
FREEPORT-MCMORAN,DEM,375
FREEPORT-MCMORAN,REP,500
F5 NETWORKS,DEM,250
GANNETT CO,DEM,250
GENERAL DYNAMICS,REP,250
GENERAL DYNAMICS,DEM,425
GENERAL DYNAMICS,DEM,27931
GENERAL DYNAMICS,REP,85252
GENERAL DYNAMICS,DEM,500
GENERAL DYNAMICS,REP,1700
GENERAL ELECTRIC,REP,201
GENERAL ELECTRIC,DEM,36044
GENERAL ELECTRIC,REP,46755
GENERAL ELECTRIC,DEM,3250
GENERAL ELECTRIC,REP,2000
GENERAL ELECTRIC,DEM,500
GENERAL MILLS IN,REP,2500
GENERAL MILLS IN,REP,2500
GENERAL MILLS IN,DEM,550
GENERAL MILLS IN,DEM,19750
GENWORTH FINANCI,DEM,6350
GENWORTH FINANCI,REP,8500
GILEAD SCIENCES,DEM,11750
GILEAD SCIENCES,REP,3750
GOLDMAN SACHS GP,DEM,17500
HARLEY-DAVIDSON,DEM,1300
HARLEY-DAVIDSON,REP,5000
HARRIS CORP,DEM,500
HARRIS CORP,REP,1437
HARRIS CORP,DEM,2600
HASBRO INC,REP,250
HASBRO INC,DEM,250
HCP INC,REP,300
HELMERICH & PAYN,REP,2500
HESS CORP,DEM,250
HESS CORP,REP,2012
HESS CORP,REP,250
HEWLETT-PACKARD,DEM,19081
HEWLETT-PACKARD,REP,66490
HEWLETT-PACKARD,DEM,36390
HEWLETT-PACKARD,REP,10700
HEWLETT-PACKARD,REP,2400
HOME DEPOT INC,REP,2500
HONEYWELL INTL,REP,250
HONEYWELL INTL,REP,2353
HONEYWELL INTL,REP,250
HONEYWELL INTL,REP,250
HONEYWELL INTL,DEM,250
HORMEL FOODS CRP,DEM,1000
HOSPIRA INC,REP,864
HOSPIRA INC,REP,201
HUMANA INC,DEM,1000
HUMANA INC,REP,2200
HUMANA INC,DEM,2000
HUMANA INC,REP,9950
HUMANA INC,DEM,7620
HUNTINGTON BANC,DEM,250
HUNTINGTON BANC,REP,1068
IBM,DEM,217541
IBM,REP,95276
ILLINOIS TOOL WO,REP,250
INGERSOLL-RAND,DEM,1000
INGERSOLL-RAND,REP,4720
INGERSOLL-RAND,REP,2500
INTEL CORP,DEM,10253
INTEL CORP,REP,23087
INTEL CORP,DEM,20200
INTEL CORP,REP,9510
INTEL CORP,REP,250
INTEL CORP,DEM,675
INTERPUBLIC GRP,DEM,512
INTERCONTINENTAL,REP,7500
INTERPUBLIC GRP,DEM,2200
INTUIT INC,DEM,525
INTUIT INC,DEM,1250
INTUIT INC,REP,32700
INTUIT INC,REP,201
INTUIT INC,DEM,8800
INTUITIVE SURGIC,DEM,1500
INTUITIVE SURGIC,REP,17500
INVESCO LTD,REP,25250
IRON MOUNTAIN,DEM,15500
IRON MOUNTAIN,REP,1000
JPMORGAN CHASE,REP,2000
JPMORGAN CHASE,DEM,4412
JPMORGAN CHASE,REP,204075
JABIL CIRCUIT,REP,970
JDS UNIPHASE,DEM,250
JOHNSON&JOHNSON,REP,200
JOHNSON&JOHNSON,DEM,35719
JOHNSON&JOHNSON,REP,13025
JOHNSON&JOHNSON,DEM,1750
JOHNSON CONTROLS,DEM,1800
JOHNSON CONTROLS,REP,2701
JOHNSON&JOHNSON,DEM,3000
JOHNSON&JOHNSON,DEM,500
JOHNSON&JOHNSON,DEM,16500
JOY GLOBAL INC,REP,500
JOY GLOBAL INC,DEM,250
JPMORGAN CHASE,DEM,81040
JPMORGAN CHASE,REP,88422
JPMORGAN CHASE,DEM,79354
JPMORGAN CHASE,REP,15965
JPMORGAN CHASE,DEM,43650
JPMORGAN CHASE,REP,11500
JUNIPER NETWORKS,DEM,25506
JUNIPER NETWORKS,REP,8651
KELLOGG CO,DEM,250
KELLOGG CO,DEM,250
KEYCORP,REP,500
KEYCORP,DEM,4250
KIMBERLY-CLARK,DEM,570
KIMBERLY-CLARK,REP,4500
KIMBERLY-CLARK,DEM,950
KINDER MORGAN IN,REP,250
KINDER MORGAN IN,REP,17200
KLA-TENCOR CORP,DEM,1250
KLA-TENCOR CORP,DEM,4400
KOHLS CORP,DEM,500
KRAFT FOODS GROU,REP,650
KROGER CO,REP,2000
LAM RESEARCH,DEM,1250
LAM RESEARCH,REP,250
LAM RESEARCH,DEM,250
LEGG MASON INC,DEM,500
LEGG MASON INC,DEM,10000
LIFE TECHNOLOGIE,DEM,8108
LIFE TECHNOLOGIE,REP,1427
LIFE TECHNOLOGIE,REP,201
LIMITED BRANDS,DEM,6300
LIMITED BRANDS,REP,5451
SLM CORP,DEM,700
LOCKHEED MARTIN,DEM,400
LOCKHEED MARTIN,REP,250
LOCKHEED MARTIN,DEM,256
LOCKHEED MARTIN,DEM,54879
LOCKHEED MARTIN,REP,104125
LOCKHEED MARTIN,DEM,250
LOCKHEED MARTIN,REP,2750
LOCKHEED MARTIN,REP,500
LOCKHEED MARTIN,REP,900
LORILLARD INC,REP,10250
PPL CORPORATION,REP,250
LSI CORP,DEM,500
LSI CORP,REP,750
LSI CORP,DEM,250
LSI CORP,REP,2500
ALTRIA GROUP INC,DEM,300
LYONDELLBASELL-A,REP,10000
LYONDELLBASELL-A,REP,2400
MACY'S INC,DEM,250
MACY'S INC,DEM,4750
MACY'S INC,REP,550
MACY'S INC,DEM,750
MARATHON OIL,DEM,500
MARATHON OIL,REP,2461
MARATHON PETROLE,DEM,1485
MARATHON PETROLE,REP,13845
MARRIOTT INTL-A,DEM,500
MARRIOTT INTL-A,REP,250
MARSH & MCLENNAN,DEM,35750
MARSH & MCLENNAN,DEM,250
MARSH & MCLENNAN,DEM,250
MATTEL INC,DEM,1000
MATTEL INC,DEM,250
MATTEL INC,DEM,3050
MCDONALDS CORP,DEM,750
MCDONALDS CORP,REP,250
MCDONALDS CORP,DEM,2500
MCDONALDS CORP,REP,6000
MCDONALDS CORP,DEM,1000
MCKESSON CORP,DEM,250
MCKESSON CORP,REP,1025
MCKESSON CORP,DEM,1200
MEAD JOHNSON,REP,500
MEADWESTVACO COR,REP,400
MEADWESTVACO COR,REP,5000
MEDTRONIC INC,DEM,900
MEDTRONIC INC,REP,1000
MEDTRONIC INC,DEM,450
MEDTRONIC INC,REP,4000
MEDTRONIC INC,DEM,250
MEDTRONIC INC,DEM,9845
MERCK & CO,DEM,800
MERCK & CO,REP,300
MERCK & CO,DEM,925
MERCK & CO,REP,750
MERCK & CO,REP,250
METLIFE INC,REP,5250
METLIFE INC,REP,38500
METLIFE INC,DEM,4044
MICRON TECH,REP,250
MICROSOFT CORP,DEM,387
MICROSOFT CORP,DEM,29174
MICROSOFT CORP,REP,8823
MICROSOFT CORP,DEM,22142
MICROSOFT CORP,REP,20590
MOLEX INC,REP,50000
MOLSON COORS-B,DEM,250
MOLSON COORS-B,REP,2500
MONSANTO CO,DEM,400
MONSANTO CO,DEM,500
MONSANTO CO,DEM,1150
MONSANTO CO,REP,800
MOODY'S CORP,DEM,500
MOODY'S CORP,DEM,250
MORGAN STANLEY,REP,1000
JPMORGAN CHASE,DEM,250
MORGAN STANLEY,REP,3500
MORGAN STANLEY,DEM,173009
MORGAN STANLEY,REP,617049
MORGAN STANLEY,REP,2000
MORGAN STANLEY,DEM,400
MORGAN STANLEY,DEM,618
MORGAN STANLEY,REP,500
MOTOROLA SOLUTIO,DEM,2250
MOTOROLA SOLUTIO,REP,4913
AES CORP,REP,1350
NASDAQ OMX GROUP,DEM,3000
NETAPP INC,DEM,1254
NETAPP INC,REP,750
NETAPP INC,REP,1750
NETAPP INC,DEM,4200
NETFLIX INC,DEM,750
NETFLIX INC,DEM,750
NETFLIX INC,DEM,1000
NEWELL RUBBERMAI,DEM,1000
NEWELL RUBBERMAI,REP,2500
NEWMONT MINING,DEM,750
NEWMONT MINING,REP,500
NEXTERA ENERGY,REP,826
NEXTERA ENERGY,DEM,20450
NEXTERA ENERGY,REP,2000
NISOURCE INC,REP,603
NISOURCE INC,REP,250
NOBLE ENERGY INC,REP,1000
NOBLE ENERGY INC,DEM,450
NOBLE ENERGY INC,REP,5500
NOBLE ENERGY INC,DEM,250
NORDSTROM INC,DEM,250
NORDSTROM INC,REP,1000
NORDSTROM INC,DEM,250
NORFOLK SOUTHERN,DEM,450
NORFOLK SOUTHERN,REP,1750
NORFOLK SOUTHERN,REP,2500
NORTHROP GRUMMAN,DEM,250
NORTHERN TRUST,DEM,500
NORTHERN TRUST,DEM,29000
NORTHERN TRUST,REP,250
NORTHERN TRUST,DEM,500
NORTHERN TRUST,REP,300
NORTHROP GRUMMAN,DEM,250
NORTHROP GRUMMAN,DEM,1000
NORTHROP GRUMMAN,DEM,250
NORTHROP GRUMMAN,DEM,225
NORTHROP GRUMMAN,DEM,250
NORTHROP GRUMMAN,DEM,37285
NORTHROP GRUMMAN,REP,58829
NORTHROP GRUMMAN,DEM,250
NORTHROP GRUMMAN,DEM,250
NORTHROP GRUMMAN,REP,250
NORTHROP GRUMMAN,DEM,500
NORTHROP GRUMMAN,REP,500
NORTHROP GRUMMAN,DEM,20438
NORTHROP GRUMMAN,REP,1000
NORTHROP GRUMMAN,DEM,4650
NORTHROP GRUMMAN,REP,402
NORTHROP GRUMMAN,DEM,2700
NORTHROP GRUMMAN,DEM,250
NORTHROP GRUMMAN,REP,2200
NRG ENERGY,DEM,1500
NRG ENERGY,REP,250
NUCOR CORP,REP,4500
NVIDIA CORP,REP,2750
NVIDIA CORP,DEM,500
NVIDIA CORP,REP,1250
NYSE EURONEXT,DEM,5631
NYSE EURONEXT,REP,5000
ONEOK INC,REP,3500
ONEOK INC,DEM,250
ORACLE CORP,DEM,10363
ORACLE CORP,REP,2000
ORACLE CORP,DEM,19252
ORACLE CORP,REP,2250
ORACLE CORP,DEM,500
PACCAR INC,DEM,500
PACCAR INC,REP,4750
PACCAR INC,DEM,1250
PACCAR INC,REP,750
PPL CORPORATION,DEM,2250
PARKER HANNIFIN,DEM,500
PARKER HANNIFIN,DEM,2450
PARKER HANNIFIN,REP,3836
PAYCHEX INC,DEM,250
PEABODY ENERGY,REP,24500
PEPSICO INC,REP,500
PEPSICO INC,DEM,5000
PEPSICO INC,DEM,1000
PEPSICO INC,REP,1700
PEPSICO INC,DEM,500
PEPSICO INC,DEM,1500
PERKINELMER INC,DEM,250
PERKINELMER INC,DEM,500
PETSMART INC,REP,500
PETSMART INC,DEM,250
PFIZER INC,DEM,9650
PFIZER INC,REP,2752
PFIZER INC,DEM,2000
PFIZER INC,REP,6345
PFIZER INC,REP,250
PFIZER INC,DEM,250
PFIZER INC,DEM,21262
PHILLIPS 66,DEM,2313
PHILLIPS 66,REP,16950
PHILLIPS 66,DEM,500
PHILLIPS 66,REP,700
PINNACLE WEST,REP,2500
PITNEY BOWES INC,DEM,1600
PITNEY BOWES INC,DEM,6800
PITNEY BOWES INC,DEM,550
PITNEY BOWES INC,DEM,1200
PPL CORPORATION,DEM,500
PPL CORPORATION,REP,250
PRAXAIR INC,DEM,500
PRAXAIR INC,REP,500
PRAXAIR INC,REP,4800
PRAXAIR INC,DEM,500
PRICELINE.COM,DEM,700
PRICELINE.COM,REP,6000
PROCTER & GAMBLE,DEM,10530
PROCTER & GAMBLE,REP,8627
PROCTER & GAMBLE,DEM,3150
PROCTER & GAMBLE,DEM,200
PROCTER & GAMBLE,REP,250
PROCTER & GAMBLE,DEM,2500
PUBLIC STORAGE,DEM,2500
PUBLIC STORAGE,REP,1750
PULTEGROUP INC,REP,1000
QEP RESOURCES IN,DEM,1000
QEP RESOURCES IN,REP,2750
QEP RESOURCES IN,REP,250
QUALCOMM INC,DEM,200
QUALCOMM INC,DEM,3700
QUALCOMM INC,REP,451
QUALCOMM INC,DEM,18400
QUALCOMM INC,REP,500
QUALCOMM INC,DEM,7375
QUALCOMM INC,DEM,5675
QUANTA SERVICES,DEM,500
QUANTA SERVICES,REP,1250
QUEST DIAGNOSTIC,DEM,21935
QUEST DIAGNOSTIC,REP,15000
RANGE RESOURCES,REP,750
RANGE RESOURCES,REP,250
RAYTHEON CO,DEM,750
RAYTHEON CO,REP,250
RAYTHEON CO,DEM,400
RED HAT INC,REP,4000
RED HAT INC,DEM,31800
REGIONS FINANCIA,DEM,750
REGIONS FINANCIA,REP,500
ROBERT HALF INTL,DEM,500
ROCKWELL AUTOMAT,DEM,6866
ROCKWELL AUTOMAT,REP,14750
ROCKWELL COLLINS,DEM,6440
ROCKWELL COLLINS,REP,6603
ROCKWELL COLLINS,REP,1500
ROCKWELL COLLINS,REP,1000
ROSS STORES INC,DEM,250
ROSS STORES INC,REP,450
ROSS STORES INC,DEM,250
ROWAN COMPANIE-A,REP,500
RYDER SYSTEM INC,DEM,500
RYDER SYSTEM INC,REP,250
RYDER SYSTEM INC,REP,55000
RYDER SYSTEM INC,DEM,1250
RYDER SYSTEM INC,REP,225
RYDER SYSTEM INC,REP,500
RYDER SYSTEM INC,DEM,500
SAFEWAY INC,DEM,500
SAFEWAY INC,REP,500
SAFEWAY INC,DEM,750
SAFEWAY INC,REP,27000
SAFEWAY INC,REP,1000
SAFEWAY INC,DEM,500
SALESFORCE.COM,REP,5000
SALESFORCE.COM,DEM,161288
SALESFORCE.COM,REP,4000
SALESFORCE.COM,REP,2056
SANDISK CORP,DEM,5000
SANDISK CORP,DEM,250
SCHLUMBERGER LTD,REP,500
SEAGATE TECHNOLO,DEM,4350
SEAGATE TECHNOLO,REP,90512
SEALED AIR CORP,REP,1200
SEALED AIR CORP,DEM,250
SEMPRA ENERGY,DEM,12298
SEMPRA ENERGY,REP,5701
SHERWIN-WILLIAMS,REP,901
SHERWIN-WILLIAMS,DEM,500
SHERWIN-WILLIAMS,REP,3750
SHERWIN-WILLIAMS,DEM,500
SIGMA-ALDRICH,DEM,200
SIGMA-ALDRICH,REP,500
CISCO SYSTEMS,DEM,312
SOUTHERN CO,DEM,220
SOUTHERN CO,REP,1000
SOUTHWESTRN ENGY,REP,2500
SPECTRA ENERG,DEM,281
SPECTRA ENERG,REP,12400
ST JUDE MEDICAL,DEM,250
ST JUDE MEDICAL,REP,2171
ST JUDE MEDICAL,DEM,5913
ST JUDE MEDICAL,REP,5250
STAPLES INC,REP,750
STAPLES INC,REP,51000
STAPLES INC,DEM,1725
STARWOOD HOTELS,DEM,1722
STERICYCLE INC,REP,1750
STERICYCLE INC,REP,1750
STERICYCLE INC,REP,800
STERICYCLE INC,DEM,500
STRYKER CORP,DEM,250
SUNTRUST BANKS,REP,1000
SUNTRUST BANKS,DEM,7535
SUNTRUST BANKS,REP,11512
SUNTRUST BANKS,DEM,300
SYMANTEC CORP,DEM,250
SYMANTEC CORP,REP,701
SYMANTEC CORP,DEM,500
T ROWE PRICE GRP,DEM,2500
T ROWE PRICE GRP,REP,6500
TE CONNECTIVITY,REP,250
TARGET CORP,DEM,250
TARGET CORP,REP,200
TARGET CORP,DEM,250
TARGET CORP,REP,1250
TARGET CORP,DEM,250
TE CONNECTIVITY,DEM,1000
TE CONNECTIVITY,REP,4900
TECO ENERGY INC,REP,1250
TECO ENERGY INC,DEM,750
TECO ENERGY INC,DEM,300
ENTERGY CORP,REP,250
TENET HEALTHCARE,DEM,1000
TENET HEALTHCARE,DEM,500
TENET HEALTHCARE,DEM,1750
TENET HEALTHCARE,REP,5000
TERADATA CORP,DEM,250
TERADATA CORP,REP,1000
TERADATA CORP,DEM,500
TERADYNE INC,REP,500
TERADYNE INC,REP,201
TERADYNE INC,DEM,250
TEXAS INSTRUMENT,DEM,500
TEXAS INSTRUMENT,DEM,8380
TEXAS INSTRUMENT,REP,8673
TEXTRON INC,DEM,350
TEXTRON INC,REP,2750
THERMO FISHER,DEM,450
THERMO FISHER,REP,2750
THERMO FISHER,DEM,250
TIFFANY & CO,REP,500
TIFFANY & CO,DEM,44450
TIFFANY & CO,REP,250
TIME WARNER CABL,DEM,20800
TIME WARNER CABL,REP,3801
TIME WARNER INC,DEM,950
TIME WARNER INC,DEM,1485
TIME WARNER INC,DEM,12093
FMC TECHNOLOGIES,REP,200
TORCHMARK CORP,REP,500
TYSON FOODS-A,DEM,750
TYSON FOODS-A,REP,7500
US BANCORP,REP,30500
UNITEDHEALTH GRP,DEM,42100
UNITEDHEALTH GRP,REP,25850
UNITEDHEALTH GRP,DEM,15013
UNITEDHEALTH GRP,REP,21917
UNITEDHEALTH GRP,REP,1250
UNITEDHEALTH GRP,REP,750
UNUM GROUP,DEM,500
UNUM GROUP,REP,500
URBAN OUTFITTER,DEM,750
URBAN OUTFITTER,REP,50000
US BANCORP,REP,4000
VALERO ENERGY,REP,500
VARIAN MEDICAL S,DEM,250
VENTAS INC,REP,51500
VERISIGN INC,REP,450
VERISIGN INC,DEM,1000
WW GRAINGER INC,REP,6000
WAL-MART STORES,REP,250
WALGREEN CO,DEM,475
WALGREEN CO,DEM,3950
WALGREEN CO,REP,54260
WALGREEN CO,DEM,200
WALT DISNEY CO,DEM,4000
WALT DISNEY CO,REP,360
WASHINGTON POS-B,REP,450
WASTE MANAGEMENT,DEM,5250
WASTE MANAGEMENT,REP,6701
WASTE MANAGEMENT,REP,200
WATERS CORP,DEM,250
WATERS CORP,REP,3000
WATERS CORP,DEM,204
WASTE MANAGEMENT,REP,2500
WELLPOINT INC,REP,3500
WELLPOINT INC,DEM,250
WELLPOINT INC,REP,1373
WELLPOINT INC,DEM,250
WELLPOINT INC,REP,1500
WELLPOINT INC,DEM,5050
WELLS FARGO & CO,REP,250
WELLS FARGO & CO,DEM,1500
WELLS FARGO & CO,REP,2200
WELLS FARGO & CO,REP,250
WESTERN DIGITAL,DEM,2200
WESTERN DIGITAL,REP,4500
WESTERN UNION,DEM,6450
WESTERN UNION,REP,1934
WEYERHAEUSER CO,REP,250
